,mmsi,timestamp,lon,lat,knots,cog,heading,rot,ship_type,nav_status,length,width,maxspeed,aisid,is_anomaly,anomaly_name,anomaly_value,no_prototype_found,assessment
10379,266247000,2018-07-03 10:25:36,11.847978,57.685585,1.8,95.1,92.0,,Cargo,Under way using engine,,26.0,,221333,False,,,False,TN
10380,265625300,2018-07-03 10:25:37,11.808607,57.651748,9.2,161.9,,,Passenger,Unknown value,,6.0,,221334,False,,,False,TN
10381,265547270,2018-07-03 10:25:41,11.785583,57.648607,0.1,346.5,239.0,-2.2,Passenger,Under way using engine,,8.0,,221340,False,,,False,TN
10382,249803000,2018-07-03 10:25:44,11.601378,57.593823,12.6,338.6,340.0,0.0,Tanker,Under way using engine,,17.0,,221345,False,,,False,TN
10383,219017582,2018-07-03 10:25:45,11.81271,57.546137,15.7,345.4,344.0,0.0,Cargo,Under way using engine,,4.0,,221347,True,cog,0.0001088331556365,False,TP
10384,265627630,2018-07-03 10:25:50,11.821528,57.624552,1.0,109.5,40.0,,Cargo,Unknown value,,10.0,,221356,False,,,False,FP
10385,265547210,2018-07-03 10:25:50,11.8224,57.625772,1.4,67.3,71.0,-30.2,Passenger,Under way using engine,,8.0,,221357,False,,,False,TN
10386,265509950,2018-07-03 10:25:52,11.793585,57.570075,6.9,247.1,261.0,,Passenger,Under way using engine,,8.0,,221360,False,,,False,TN
10387,265547240,2018-07-03 10:26:01,11.802725,57.610355,16.6,222.7,225.0,45.7,Passenger,Under way using engine,,6.0,,221380,False,,,False,TN
10388,265638160,2018-07-03 10:26:02,11.793278,57.604217,18.4,24.2,,,Cargo,Unknown value,,3.0,,221381,True,sog,0.0046183016800763,False,TP
10389,265509950,2018-07-03 10:26:09,11.792605,57.570072,6.3,279.8,285.0,,Passenger,Under way using engine,,8.0,,221393,False,,,False,TN
10390,249803000,2018-07-03 10:26:24,11.600193,57.595448,12.6,338.9,339.0,0.0,Tanker,Under way using engine,,17.0,,221416,False,,,False,FP
